(Virginia House Members) Office, Name, Party, Date_Assumed_Office
Scraped from https://ballotpedia.org/Virginia_House_of_Delegates

Virginia House of Delegates District 45,Terry Kilgore,Republican ,January 10, 2024
Virginia House of Delegates District 46,Jed Arnold,Republican ,January 10, 2024
Virginia House of Delegates District 47,Wren Williams,Republican ,January 10, 2024
Virginia House of Delegates District 48,Eric Phillips,Republican ,January 10, 2024
Virginia House of Delegates District 49,Danny Marshall,Republican ,January 10, 2024
Virginia House of Delegates District 50,Tommy Wright,Republican ,January 10, 2024
Virginia House of Delegates District 51,Eric Zehr,Republican ,January 10, 2024
Virginia House of Delegates District 52,Wendell Walker,Republican ,January 10, 2024
Virginia House of Delegates District 53,Tim Griffin,Republican ,January 10, 2024
Virginia House of Delegates District 54,Katrina Callsen,Democratic ,January 10, 2024
Virginia House of Delegates District 55,Amy Laufer,Democratic ,January 10, 2024
Virginia House of Delegates District 56,Thomas Garrett,Republican ,January 10, 2024
Virginia House of Delegates District 57,David Owen,Republican ,January 10, 2024
Virginia House of Delegates District 58,Rodney Willett,Democratic ,January 10, 2024
Virginia House of Delegates District 59,Buddy Fowler,Republican ,January 10, 2024
Virginia House of Delegates District 60,Scott Wyatt,Republican ,January 10, 2024
Virginia House of Delegates District 61,Michael Webert,Republican ,January 10, 2024
Virginia House of Delegates District 62,Nick Freitas,Republican ,January 10, 2024
Virginia House of Delegates District 63,Phillip Scott,Republican ,January 10, 2024
Virginia House of Delegates District 64,Paul Milde III,Republican ,January 10, 2024
Virginia House of Delegates District 65,Joshua Cole,Democratic ,January 10, 2024
Virginia House of Delegates District 66,Bobby Orrock,Republican ,January 10, 2024
Virginia House of Delegates District 67,Hillary Pugh Kent,Republican ,January 10, 2024
Virginia House of Delegates District 68,Keith Hodges,Republican ,January 10, 2024
Virginia House of Delegates District 69,Chad Green,Republican ,January 10, 2024
Virginia House of Delegates District 70,Shelly Simonds,Democratic ,January 10, 2024
Virginia House of Delegates District 71,Amanda Batten,Republican ,January 10, 2024
Virginia House of Delegates District 72,Lee Ware,Republican ,January 10, 2024
Virginia House of Delegates District 73,Mark Earley Jr.,Republican ,January 10, 2024
Virginia House of Delegates District 74,Mike Cherry,Republican ,January 10, 2024
Virginia House of Delegates District 75,Carrie Coyner,Republican ,January 10, 2024
Virginia House of Delegates District 76,Debra Gardner,Democratic ,January 10, 2024
Virginia House of Delegates District 77,Michael Jones,Democratic ,January 10, 2024
Virginia House of Delegates District 78,Betsy Carr,Democratic ,January 10, 2024
Virginia House of Delegates District 79,Rae Cousins,Democratic ,January 10, 2024
Virginia House of Delegates District 80,Destiny LeVere Bolling,Democratic ,January 10, 2024
Virginia House of Delegates District 81,Delores McQuinn,Democratic ,January 10, 2024
Virginia House of Delegates District 82,Kim Taylor,Republican ,January 10, 2024
Virginia House of Delegates District 83,H. Otto Wachsmann Jr.,Republican ,January 10, 2024
Virginia House of Delegates District 84,Nadarius Clark,Democratic ,January 10, 2024
Virginia House of Delegates District 85,Marcia Price,Democratic ,January 10, 2024
Virginia House of Delegates District 86,Aijalon Cordoza,Republican ,January 10, 2024
Virginia House of Delegates District 87,Jeion Ward,Democratic ,January 10, 2024
Virginia House of Delegates District 88,Don Scott,Democratic ,January 10, 2024
Virginia House of Delegates District 89,N. Baxter Ennis,Republican ,January 10, 2024
Virginia House of Delegates District 90,Jay Leftwich,Republican ,January 10, 2024
Virginia House of Delegates District 91,Cliff Hayes,Democratic ,January 10, 2024
Virginia House of Delegates District 92,Bonita Anthony,Democratic ,January 10, 2024
Virginia House of Delegates District 93,Jackie Glass,Democratic ,January 10, 2024
Virginia House of Delegates District 94,Phil Hernandez,Democratic ,January 10, 2024
Virginia House of Delegates District 95,Alex Askew,Democratic ,January 10, 2024
Virginia House of Delegates District 96,Kelly Convirs-Fowler,Democratic ,January 10, 2024
Virginia House of Delegates District 97,Michael Feggans,Democratic ,January 10, 2024
Virginia House of Delegates District 98,Barry Knight,Republican ,January 10, 2024
Virginia House of Delegates District 99,Anne Ferrell Tata,Republican ,January 10, 2024
Virginia House of Delegates District 100,Robert Bloxom,Republican ,2014
